4,192,LULUR SUSU SPESIAL,75000,69000,75000,69000,10500,10200
4,193,LULUR CENDANA MADU,85000,78000,85000,78000,12000,11400
4,194,LULUR LIDAH BUAYA,85000,78000,85000,78000,12000,11400
4,195,LULUR JASMIN,85000,78000,85000,78000,12000,11400
4,196,LULUR ROYAL,90000,85000,90000,85000,12750,12000
4,197,LULUR MADU,103000,97000,103000,97000,14850,13950
4,198,LULUR CAPPUCINO,120000,110000,120000,110000,15750,15000
4,200,LULUR AROMATERAPHI ,115000,105000,115000,105000,15450,14550
5,201,MILK BODY MASK,35000,32000,35000,32000,5250,4800
5,203,MASKER BADAN KIWI MANGGO,60000,55000,60000,55000,9000,8250
5,204,MASKER BADAN GREEN TEA,60000,57000,60000,57000,0,0
5,205,MANDI SUSU,90000,85000,90000,85000,13500,12750
5,206,SAUNA,45000,40000,45000,40000,1700,1400
5,207,SAUNA HERBAL,55000,50000,55000,50000,2200,1950
10,208,TOTOK AURA PAYUDARA,110000,100000,110000,100000,25500,24000
10,209,TOTOK AURA TUBUH,85000,75000,85000,75000,20400,18000
10,210,TOTOK AURA VAGINA,110000,100000,110000,100000,36000,34000
10,211,BODY MASAGGE,65000,60000,65000,60000,18500,18500
10,212,REFLEKSI,68000,62000,68000,62000,14000,14000
10,213,BACK TERAPHY,65000,58000,65000,58000,21000,19250
10,214,HAND TERAPHY,41000,36000,41000,36000,8000,7250
10,215,MASSAGE IBU HAMIL,100000,90000,100000,90000,22000,20500
10,216,MASSAGE ANAK ,58000,55000,58000,55000,11700,11700
10,217,MASSAGE BAYI / BALITA,68000,65000,68000,65000,14200,14200
11,218,PEDICURE,91000,81000,91000,81000,0,0
11,219,PEDI GEHWOL,165000,160000,165000,160000,0,0
11,220,MEDICURE,75000,65000,75000,65000,0,0
11,221,MEDI GEHWOL,120000,115000,120000,115000,0,0
11,222,PEDI + MENICURE,156000,146000,156000,146000,0,0
5,223,PEDI MEDI GEHWOL,265000,250000,265000,250000,0,0
5,224,BODY MASSAGE+REFLEKSI,125000,115000,125000,115000,25000,25000
5,225,UNDER ARM,99000,89000,99000,89000,11250,10500
5,226,RATUS,50000,40000,50000,40000,4000,3500
10,227,BEKAM KERING,45000,40000,45000,40000,9500,8250
10,228,BEKAM BASAH,96000,87000,96000,87000,21250,20000
10,229,TERAPI SAKIT KEPALA /TSK,60000,50000,60000,50000,7400,7000
10,231,BM 1/2 JAM,100000,95000,100000,95000,27500,27500
6,233,Acne Gel,47000,47000,47000,47000,0,0
6,234,Bedak Pdt Light,95000,95000,95000,95000,0,0
6,235,Bedak Pdt SC,95000,95000,95000,95000,0,0
6,236,Bedak Tbr Light,90000,90000,90000,90000,0,0
6,237,Bedak Tbr SC,90000,90000,90000,90000,0,0
6,238,C. Skin,45000,45000,45000,45000,0,0
6,239,Facial Scrub (kcl),0,0,0,0,0,0
6,240,Facial Scrub (bsr),70000,70000,70000,70000,0,0
6,241,FT. Acne,56000,56000,56000,56000,0,0
6,242,FT. AHA,55000,55000,55000,55000,0,0
6,243,FT. WS,42000,42000,42000,42000,0,0
6,244,FW. Acne,60000,60000,60000,60000,0,0
6,245,FW. AHA,58000,58000,58000,58000,0,0
6,246,FW. Sensitif,47000,45000,47000,45000,0,0
6,247,FW. WS,45000,45000,45000,45000,0,0
6,260,Mediklin,40000,40000,40000,40000,0,0
6,261,Mofacort,72000,72000,72000,72000,0,0
6,262,Moist. WS,50000,50000,50000,50000,0,0
6,263,Moist. W Sensitif,51000,51000,51000,51000,0,0
6,264,Niaceft,45000,45000,45000,45000,0,0
6,265,Refill SC,0,0,0,0,0,0
6,266,Refill Light,0,0,0,0,0,0
6,268,Rose Water (bsr),70000,70000,70000,70000,0,0
6,269,SB. Gel (kcl),55000,55000,55000,55000,0,0
6,270,SB. Gel (bsr),82000,82000,82000,82000,0,0
6,271,SB. Oil Free Lotion (kcl),58000,58000,58000,58000,0,0
6,272,SB. Oil Free Lotion (bsr),82000,82000,82000,82000,0,0
6,273,SB. Oil Free Sensitif,47000,47000,47000,47000,0,0
6,274,VC. Gent,60000,60000,60000,60000,0,0
6,275,Acne Lotion,45000,45000,45000,45000,0,0
4,276,BODY SCRUB WHITENING,178000,168000,178000,168000,0,0
4,277,AXILLA DEEP CLEAN,0,0,0,0,0,0
4,278,WHITENING V AREA,0,0,0,0,0,0
4,279,BODY MUSK WHITENING,0,0,0,0,0,0
4,283,PIJAT AKAR WANGI SKIN GLOW,195000,185000,195000,185000,0,0
4,284,LULUR KEN DEDES SKIN GLOW,0,0,0,0,0,0
4,285,AXILLA DEEP CLEAN SKIN GLOW+V AREA,0,0,0,0,0,0
4,286,MASKER CLEOPATRA SKIN GLOW,0,0,0,0,0,0
1,287,TOTOK WAJAH SKIN GLOW,0,0,0,0,0,0
3,288,POTONG CUCI CATOK,100000,95000,100000,95000,18000,154000
3,289,CATOK SPIRAL,75000,65000,75000,65000,12000,11000
2,290,CUCI RAMBUT,25000,25000,25000,25000,2250,2250
6,291,BE WHITE CLEAR SUN 3,45000,45000,45000,45000,0,0
6,293,BE WHITE SOFT PEEL LOTION,70000,70000,70000,70000,0,0
6,294,DEBIURYN BODY ENZYME - PEEL,70000,70000,70000,70000,0,0
6,295,MILK CLEANSER,47000,47000,47000,47000,0,0
6,296,LULUR COKLAT - BU DENY,110000,110000,110000,110000,0,0
6,298,LIPSCARE,50000,50000,50000,50000,0,0
1,299,GANTI TREATMENT,0,0,0,0,0,0
7,300,DAFTAR MEMBER BARU UMUM,50000,50000,50000,50000,1000,1000
7,302,PERPANJANGAN MEMBER ,25000,25000,25000,25000,1000,1000
7,303,CD KERTAS,3000,3000,3000,3000,0,0
2,304,VIT RAMBUT,10000,10000,10000,10000,0,0
5,305,MASKER BADAN CLEOPATRA,70000,65000,70000,65000,9750,9000
8,306,HUTANG TREATMENT 4,0,0,0,0,0,0
8,307,HUTANG TREATMENT 1,0,0,0,0,0,0
4,309,LULUR AROMATERAPHY ALMOND,115000,105000,115000,105000,15450,14550
4,310,LULUR AROMATERAPHY CHERRY,115000,105000,115000,105000,15450,14550
4,315,LULUR AROMATERAPHY OLIVE/ZAITUN,115000,105000,115000,105000,15450,14550
8,327,HUTANG TREATMENT 2,0,0,0,0,0,0
8,328,HUTANG TREATMENT 3,0,0,0,0,0,0
2,332,POTONG CUCI,49000,48000,49000,48000,13450,12250
4,335,LULUR AROMATERAPHY COKLAT,115000,105000,115000,105000,15450,14550
4,336,LULUR AROMATHERAPY STROBERI,115000,105000,115000,105000,0,0
4,338,LULUR AROMATERAPI GREEN TEA,115000,105000,115000,105000,15450,14550
7,341,GANTI KARTU MEMBER,7000,7000,7000,7000,1000,1000
1,342,FACIAL  ACNE PREMIUM,140000,135000,140000,135000,0,0
3,343,POT+BLOW RAMBUT,55000,50000,55000,50000,17200,15600
4,344,MADU TJ,100000,100000,100000,100000,0,0
4,345,LULUR AROMATERAPY AVOCADO,115000,105000,115000,105000,15450,14550
6,347,cleanser foam,70000,70000,70000,70000,0,0
6,348,clear sun 3,45000,45000,45000,45000,0,0
2,350,JASA CAT RAMBUT,75000,75000,75000,75000,16000,15000
2,352,POTONG DRY,50000,45000,50000,45000,12250,10350
11,353,CAS KUTEK,10000,10000,10000,10000,2250,2250
3,357,POTONG RAMBUT ANAK-ANAK,50000,45000,50000,45000,10000,8000
7,358,BODYMIST BR,40000,40000,40000,40000,0,0
1,359,MASKER BE WHITE,80000,80000,80000,80000,8000,8000
7,360,ARFADEO,70000,70000,70000,70000,2000,2000
7,361,GOLD - V,75000,75000,75000,75000,2000,2000
7,362,MAKANAN,0,0,0,0,0,0
7,363,MINUMAN,0,0,0,0,0,0
7,364,mie mbak gina,0,0,0,0,0,0
7,366,oma semi,0,0,0,0,0,0
